"datetime";"latitude";"longitude";"sensor_type";"value"
2022-01-01 15:00:00.000;43.77451166666667;11.255278333333333;T;12.199999809265137
2022-01-01 15:00:00.000;43.77451166666667;11.255278333333333;PM2.5;14.0
2022-01-01 15:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-01 15:00:00.000;43.77451166666667;11.255278333333333;PM10;18.0
2022-01-01 16:00:00.000;43.77451166666667;11.255278333333333;PM10;14.0
2022-01-01 16:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-01 16:00:00.000;43.77451166666667;11.255278333333333;PM2.5;12.0
2022-01-01 16:00:00.000;43.77451166666667;11.255278333333333;T;12.0
2022-01-01 17:00:00.000;43.77451166666667;11.255278333333333;PM2.5;13.0
2022-01-01 17:00:00.000;43.77451166666667;11.255278333333333;T;11.899999618530273
2022-01-01 17:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-01 17:00:00.000;43.77451166666667;11.255278333333333;PM10;16.0
2022-01-01 18:00:00.000;43.77451166666667;11.255278333333333;T;11.800000190734863
2022-01-01 18:00:00.000;43.77451166666667;11.255278333333333;PM10;14.0
2022-01-01 18:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-01 18:00:00.000;43.77451166666667;11.255278333333333;PM2.5;12.0
2022-01-01 19:00:00.000;43.77451166666667;11.255278333333333;PM2.5;12.0
2022-01-01 19:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-01 19:00:00.000;43.77451166666667;11.255278333333333;T;11.5
2022-01-01 19:00:00.000;43.77451166666667;11.255278333333333;PM10;16.0
2022-01-01 20:00:00.000;43.77451166666667;11.255278333333333;PM2.5;15.0
2022-01-01 20:00:00.000;43.77451166666667;11.255278333333333;PM10;17.0
2022-01-01 20:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-01 20:00:00.000;43.77451166666667;11.255278333333333;T;11.399999618530273
2022-01-01 22:00:00.000;43.77451166666667;11.255278333333333;T;11.100000381469727
2022-01-01 22:00:00.000;43.77451166666667;11.255278333333333;PM2.5;12.0
2022-01-01 22:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-01 22:00:00.000;43.77451166666667;11.255278333333333;PM10;13.0
2022-01-01 23:00:00.000;43.77451166666667;11.255278333333333;T;11.0
2022-01-01 23:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-01 23:00:00.000;43.77451166666667;11.255278333333333;PM2.5;10.0
2022-01-01 23:00:00.000;43.77451166666667;11.255278333333333;PM10;12.0
2022-01-02 01:00:00.000;43.77451166666667;11.255278333333333;T;10.5
2022-01-02 01:00:00.000;43.77451166666667;11.255278333333333;PM10;12.0
2022-01-02 01:00:00.000;43.77451166666667;11.255278333333333;PM2.5;10.0
2022-01-02 01:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-02 02:00:00.000;43.77451166666667;11.255278333333333;T;10.399999618530273
2022-01-02 02:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-02 02:00:00.000;43.77451166666667;11.255278333333333;PM10;11.0
2022-01-02 02:00:00.000;43.77451166666667;11.255278333333333;PM2.5;10.0
2022-01-02 03:00:00.000;43.77451166666667;11.255278333333333;RH;99.5999984741211
2022-01-02 03:00:00.000;43.77451166666667;11.255278333333333;PM2.5;9.0
2022-01-02 03:00:00.000;43.77451166666667;11.255278333333333;PM10;11.0
2022-01-02 03:00:00.000;43.77451166666667;11.255278333333333;T;10.399999618530273
2022-01-02 04:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-02 04:00:00.000;43.77451166666667;11.255278333333333;PM10;12.0
2022-01-02 04:00:00.000;43.77451166666667;11.255278333333333;T;10.300000190734863
2022-01-02 04:00:00.000;43.77451166666667;11.255278333333333;PM2.5;10.0
2022-01-02 05:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-02 05:00:00.000;43.77451166666667;11.255278333333333;PM10;12.0
2022-01-02 05:00:00.000;43.77451166666667;11.255278333333333;T;10.300000190734863
2022-01-02 05:00:00.000;43.77451166666667;11.255278333333333;PM2.5;11.0
2022-01-02 06:00:00.000;43.77451166666667;11.255278333333333;PM2.5;9.0
2022-01-02 06:00:00.000;43.77451166666667;11.255278333333333;T;10.0
2022-01-02 06:00:00.000;43.77451166666667;11.255278333333333;PM10;10.0
2022-01-02 06:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-02 07:00:00.000;43.77451166666667;11.255278333333333;PM2.5;9.0
2022-01-02 07:00:00.000;43.77451166666667;11.255278333333333;PM10;11.0
2022-01-02 07:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-02 07:00:00.000;43.77451166666667;11.255278333333333;T;10.399999618530273
2022-01-02 08:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-02 08:00:00.000;43.77451166666667;11.255278333333333;PM10;16.0
2022-01-02 08:00:00.000;43.77451166666667;11.255278333333333;PM2.5;13.0
2022-01-02 08:00:00.000;43.77451166666667;11.255278333333333;T;10.0
2022-01-02 09:00:00.000;43.77451166666667;11.255278333333333;RH;99.9000015258789
2022-01-02 09:00:00.000;43.77451166666667;11.255278333333333;PM2.5;12.0
2022-01-02 09:00:00.000;43.77451166666667;11.255278333333333;PM10;13.0
2022-01-02 09:00:00.000;43.77451166666667;11.255278333333333;T;10.600000381469727
